sentence_1,sentence_2,label
man bakes tasty meal .,man prepares application .,0.1
skillful man runs software .,person prepares software .,0.9
person debugs useful software .,man debugs program .,0.9
person prepares useful program .,man bakes tasty meal .,0.1
skillful man bakes meal .,person prepares tasty meal .,0.9
man prepares program ,woman runs software .,0.9
man prepares dinner .,person bakes dinner .,0.9
man prepares dinner .,person prepares useful application .,0.1
man cooks tasty meal .,man prepares program ,0.1
skillful person prepares meal .,man debugs application .,0.1
man cooks dinner .,man prepares application .,0.1
woman debugs application .,person bakes tasty sauce .,0.1
person cooks meal .,person debugs useful software .,0.1
woman prepares dinner .,skillful man cooks meal .,0.9
man cooks tasty meal .,skillful person prepares meal .,0.9
woman runs application .,person runs software .,0.9
woman cooks meal .,skillful person debugs software .,0.1
person debugs useful software .,skillful woman prepares application .,0.9
woman prepares sauce .,skillful person debugs software .,0.1
person cooks dinner .,person prepares program .,0.1
person cooks sauce .,skillful person prepares meal .,0.9
person debugs useful application .,person runs useful application .,0.9
man debugs useful application .,person runs useful program .,0.9
woman debugs useful application .,skillful man prepares program .,0.9
skillful woman bakes sauce .,man debugs program .,0.1
person prepares useful application .,skillful person bakes sauce .,0.1
woman runs useful application .,person runs application .,0.9
skillful woman bakes sauce .,skillful person cooks meal .,0.9
skillful man debugs software .,skillful woman prepares meal .,0.1
person prepares useful application .,man cooks dinner .,0.1
skillful man prepares sauce .,man cooks tasty sauce .,0.9
woman cooks dinner .,man cooks tasty sauce .,0.9
man prepares meal .,woman debugs useful program .,0.1
skillful man prepares sauce .,skillful person bakes meal .,0.9
man cooks tasty meal .,woman prepares program .,0.1
skillful woman bakes meal .,man cooks sauce .,0.9
person runs application .,skillful person bakes sauce .,0.1
person bakes tasty sauce .,person prepares tasty meal .,0.9
skillful man prepares software .,man prepares program ,0.9
woman debugs application .,woman prepares sauce .,0.1
woman cooks tasty meal .,man cooks dinner .,0.9
skillful man prepares software .,woman cooks tasty dinner .,0.1
man prepares program ,man runs software .,0.9
man prepares application .,man prepares program ,0.9
man debugs useful program .,man bakes tasty dinner .,0.1
skillful man cooks sauce .,woman cooks dinner .,0.9
woman debugs software .,woman prepares tasty meal .,0.1
person runs application .,woman runs useful application .,0.9
skillful person prepares meal .,man bakes tasty dinner .,0.9
person debugs useful software .,man prepares meal .,0.1
woman runs software .,person prepares tasty meal .,0.1
person cooks sauce .,man bakes tasty dinner .,0.9
woman cooks dinner .,skillful woman bakes meal .,0.9
person debugs useful software .,woman runs software .,0.9
skillful person bakes meal .,skillful person debugs software .,0.1
man prepares application .,man prepares software .,0.9
woman prepares useful application .,man prepares software .,0.9
skillful man cooks sauce .,skillful man cooks dinner .,0.9
woman cooks dinner .,woman debugs useful program .,0.1
woman prepares useful application .,person runs software .,0.9
man prepares useful application .,man prepares application .,0.9
woman prepares program .,man bakes tasty sauce .,0.1
man bakes tasty meal .,skillful person cooks sauce .,0.9
person prepares useful program .,woman prepares tasty meal .,0.1
skillful man prepares sauce .,man bakes tasty sauce .,0.9
woman bakes dinner .,person runs software .,0.1
man bakes tasty dinner .,woman cooks dinner .,0.9
woman runs software .,person prepares tasty sauce .,0.1
man bakes tasty dinner .,man prepares meal .,0.9
person cooks sauce .,woman cooks dinner .,0.9
man prepares dinner .,person bakes dinner .,0.9
person bakes dinner .,skillful person debugs software .,0.1
man cooks tasty sauce .,skillful person cooks sauce .,0.9
woman cooks tasty dinner .,skillful man bakes dinner .,0.9
man runs software .,skillful man debugs software .,0.9
man prepares useful application .,man cooks tasty meal .,0.1
man bakes tasty sauce .,person prepares program .,0.1
woman cooks tasty meal .,man bakes tasty meal .,0.9
man cooks dinner .,skillful man bakes meal .,0.9
person prepares useful application .,person prepares program .,0.9
person cooks meal .,person runs useful application .,0.1
woman prepares dinner .,person prepares useful program .,0.1
person prepares useful program .,skillful man cooks meal .,0.1
person prepares useful application .,skillful man runs software .,0.9
skillful man bakes dinner .,skillful person cooks sauce .,0.9
person debugs useful software .,man prepares useful software .,0.9
person runs useful program .,person prepares software .,0.9
skillful person cooks sauce .,man prepares useful software .,0.1
skillful person bakes sauce .,woman cooks tasty dinner .,0.9
skillful person cooks sauce .,skillful man bakes dinner .,0.9
man prepares dinner .,skillful woman bakes meal .,0.9
person cooks sauce .,person prepares program .,0.1
man prepares application .,skillful man prepares software .,0.9
person cooks meal .,woman cooks dinner .,0.9
man bakes tasty dinner .,woman bakes dinner .,0.9
skillful person prepares meal .,skillful man prepares program .,0.1
man cooks tasty meal .,man cooks sauce .,0.9
man debugs program .,skillful person debugs software .,0.9
woman bakes dinner .,person debugs useful software .,0.1
man prepares dinner .,man bakes tasty meal .,0.9
woman cooks tasty meal .,man cooks tasty meal .,0.9
man debugs useful application .,skillful person cooks sauce .,0.1
person runs application .,person prepares tasty sauce .,0.1
person cooks sauce .,man prepares meal .,0.9
man bakes tasty sauce .,man runs software .,0.1
woman debugs useful application .,person prepares tasty meal .,0.1
person bakes dinner .,man prepares meal .,0.9
woman cooks dinner .,man prepares software .,0.1
person prepares useful application .,woman prepares dinner .,0.1
woman debugs useful program .,skillful person cooks meal .,0.1
woman cooks tasty dinner .,skillful woman runs program .,0.1
person prepares software .,woman cooks tasty meal .,0.1
skillful woman prepares application .,woman bakes tasty meal .,0.1
person debugs useful application .,man prepares program ,0.9
woman cooks tasty dinner .,skillful woman prepares application .,0.1
man bakes tasty dinner .,person cooks dinner .,0.9
person bakes dinner .,man bakes tasty meal .,0.9
woman debugs software .,skillful man runs software .,0.9
person prepares program .,man debugs useful application .,0.9
man cooks tasty sauce .,person cooks sauce .,0.9
skillful woman bakes sauce .,woman debugs application .,0.1
person cooks sauce .,man debugs useful program .,0.1
person prepares tasty meal .,man prepares application .,0.1
woman prepares useful application .,man bakes tasty dinner .,0.1
woman bakes tasty meal .,man bakes tasty sauce .,0.9
skillful woman bakes sauce .,skillful person bakes meal .,0.9
woman bakes dinner .,man debugs useful application .,0.1
skillful person cooks sauce .,skillful person cooks meal .,0.9
skillful man debugs software .,skillful woman bakes sauce .,0.1
skillful man prepares sauce .,person bakes tasty sauce .,0.9
woman runs application .,person bakes tasty sauce .,0.1
person runs useful program .,person runs software .,0.9
man debugs application .,man prepares useful software .,0.9
woman debugs useful program .,skillful man prepares sauce .,0.1
person prepares tasty meal .,man prepares application .,0.1
woman runs application .,person runs useful application .,0.9
person runs useful program .,man debugs application .,0.9
person debugs useful application .,skillful man prepares sauce .,0.1
skillful man cooks sauce .,skillful person bakes sauce .,0.9
skillful man prepares software .,man cooks tasty meal .,0.1
woman bakes tasty meal .,person bakes tasty sauce .,0.9
man runs software .,skillful man prepares sauce .,0.1
person runs useful application .,man cooks tasty meal .,0.1
skillful man runs software .,person cooks sauce .,0.1
skillful man prepares sauce .,person runs program .,0.1
skillful woman debugs program .,man debugs useful software .,0.9
man cooks sauce .,skillful man prepares program .,0.1
woman prepares sauce .,woman cooks meal .,0.9
man prepares application .,woman cooks tasty meal .,0.1
skillful person bakes dinner .,skillful woman prepares application .,0.1
skillful man cooks sauce .,person cooks sauce .,0.9
person prepares software .,man runs software .,0.9
person prepares useful program .,person cooks sauce .,0.1
woman debugs application .,woman prepares dinner .,0.1
man debugs useful program .,man prepares useful software .,0.9
skillful man prepares sauce .,skillful person prepares meal .,0.9
person prepares tasty meal .,woman debugs application .,0.1
woman prepares program .,man prepares useful application .,0.9
person runs useful application .,person debugs useful application .,0.9
skillful man prepares sauce .,man cooks dinner .,0.9
person runs software .,skillful woman prepares meal .,0.1
woman bakes tasty meal .,skillful person prepares meal .,0.9
skillful person bakes meal .,person prepares tasty meal .,0.9
person bakes dinner .,man debugs useful software .,0.1
skillful person bakes meal .,person cooks sauce .,0.9
skillful person prepares meal .,person prepares useful application .,0.1
man cooks sauce .,skillful person bakes meal .,0.9
skillful person prepares meal .,person prepares program .,0.1
skillful man cooks sauce .,skillful woman debugs program .,0.1
skillful woman debugs program .,person runs software .,0.9
woman prepares dinner .,skillful man prepares program .,0.1
skillful man prepares software .,skillful person cooks meal .,0.1
man debugs useful program .,man bakes tasty dinner .,0.1
skillful man prepares program .,person runs program .,0.9
woman prepares tasty meal .,skillful person bakes dinner .,0.9
skillful man runs software .,person runs useful program .,0.9
skillful woman bakes meal .,person runs software .,0.1
woman cooks dinner .,man cooks dinner .,0.9
person runs useful program .,woman cooks tasty dinner .,0.1
person runs software .,man debugs useful software .,0.9
skillful man cooks meal .,man bakes tasty sauce .,0.9
woman prepares dinner .,skillful person bakes sauce .,0.9
woman cooks meal .,skillful person cooks meal .,0.9
skillful man bakes meal .,woman cooks meal .,0.9
woman cooks meal .,skillful man prepares sauce .,0.9
man debugs application .,person prepares program .,0.9
person prepares software .,skillful man prepares software .,0.9
woman debugs application .,woman prepares program .,0.9
man cooks sauce .,woman debugs application .,0.1
person cooks sauce .,skillful man bakes meal .,0.9
skillful man bakes meal .,skillful man cooks dinner .,0.9
skillful woman bakes sauce .,person runs application .,0.1
man debugs application .,man bakes tasty dinner .,0.1
skillful person cooks sauce .,man prepares dinner .,0.9
person debugs useful software .,woman bakes tasty meal .,0.1
man cooks tasty sauce .,man debugs program .,0.1
woman prepares dinner .,woman cooks dinner .,0.9
man debugs useful software .,skillful man prepares sauce .,0.1
man prepares software .,skillful person cooks sauce .,0.1
man prepares useful application .,man debugs application .,0.9
person debugs useful software .,woman cooks dinner .,0.1
man debugs useful application .,woman runs application .,0.9
man prepares software .,person cooks dinner .,0.1
person cooks sauce .,man prepares meal .,0.9
man bakes tasty sauce .,person runs software .,0.1
person runs useful application .,person prepares tasty meal .,0.1
person prepares useful program .,skillful woman debugs program .,0.9
woman bakes dinner .,person prepares software .,0.1
person runs software .,skillful man bakes dinner .,0.1
person runs useful application .,skillful woman runs program .,0.9
woman debugs useful application .,person prepares useful program .,0.9
woman runs program .,woman debugs software .,0.9
woman runs program .,man runs software .,0.9
person prepares software .,woman runs useful application .,0.9
woman runs application .,woman prepares program .,0.9
woman prepares tasty meal .,skillful man runs software .,0.1
woman prepares program .,skillful man cooks sauce .,0.1
man prepares dinner .,person runs software .,0.1
person runs useful program .,person runs program .,0.9
person prepares useful program .,woman bakes tasty meal .,0.1
person prepares program .,person debugs useful software .,0.9
man prepares useful application .,skillful man debugs software .,0.9
man cooks tasty sauce .,woman debugs useful application .,0.1
person debugs useful software .,man cooks sauce .,0.1
skillful man prepares software .,skillful woman runs program .,0.9
skillful man prepares program .,person debugs useful software .,0.9
man prepares software .,man debugs useful application .,0.9
woman prepares program .,skillful man debugs software .,0.9
skillful person prepares meal .,person debugs useful application .,0.1
woman prepares program .,skillful man cooks sauce .,0.1
man bakes tasty dinner .,woman prepares sauce .,0.9
skillful person debugs software .,woman runs program .,0.9
person prepares program .,person cooks sauce .,0.1
skillful woman runs program .,person runs useful program .,0.9
person cooks meal .,man runs software .,0.1
skillful woman bakes meal .,person bakes tasty sauce .,0.9
person prepares software .,woman cooks meal .,0.1
man debugs useful software .,woman prepares useful application .,0.9
skillful man prepares software .,person debugs useful software .,0.9
person runs program .,skillful woman debugs program .,0.9
person runs useful application .,skillful man prepares sauce .,0.1
man runs software .,woman cooks meal .,0.1
skillful person debugs software .,man debugs useful software .,0.9
person cooks meal .,man prepares meal .,0.9
man cooks sauce .,man prepares meal .,0.9
man debugs useful application .,man debugs useful software .,0.9
man prepares useful software .,skillful man cooks dinner .,0.1
woman debugs application .,woman runs program .,0.9
skillful woman bakes meal .,woman prepares useful application .,0.1
person runs useful application .,skillful man bakes meal .,0.1
person prepares useful application .,person cooks dinner .,0.1
skillful man cooks meal .,woman prepares program .,0.1
woman cooks tasty meal .,man bakes tasty dinner .,0.9
woman prepares sauce .,man prepares application .,0.1
man prepares meal .,skillful person prepares meal .,0.9
skillful man prepares program .,skillful man prepares sauce .,0.1
skillful man cooks sauce .,woman runs application .,0.1
man debugs application .,man prepares meal .,0.1
person runs useful application .,woman prepares program .,0.9
skillful woman bakes meal .,man debugs useful software .,0.1
man cooks sauce .,woman cooks meal .,0.9
man bakes tasty dinner .,woman prepares useful application .,0.1
woman cooks tasty meal .,man bakes tasty meal .,0.9
skillful person cooks sauce .,woman bakes tasty meal .,0.9
man prepares useful software .,skillful person cooks sauce .,0.1
woman prepares tasty meal .,skillful man bakes dinner .,0.9
person cooks sauce .,skillful person bakes meal .,0.9
man prepares application .,skillful person cooks meal .,0.1
woman runs software .,skillful man debugs software .,0.9
man debugs application .,woman debugs useful program .,0.9
woman prepares useful application .,man prepares meal .,0.1
person cooks sauce .,man bakes tasty dinner .,0.9
skillful man cooks meal .,woman runs software .,0.1
woman runs useful application .,person prepares program .,0.9
woman bakes tasty meal .,person runs useful program .,0.1
man debugs program .,man bakes tasty sauce .,0.1
skillful man prepares program .,person cooks dinner .,0.1
woman runs application .,man bakes tasty sauce .,0.1
man prepares program ,person debugs useful software .,0.9
person bakes dinner .,skillful woman bakes sauce .,0.9
man bakes tasty meal .,man debugs useful software .,0.1
woman prepares tasty meal .,skillful person bakes sauce .,0.9
person prepares useful program .,person debugs useful application .,0.9
person runs program .,person prepares tasty meal .,0.1
man debugs useful application .,person prepares tasty sauce .,0.1
person prepares software .,skillful woman bakes sauce .,0.1
woman prepares program .,person prepares tasty sauce .,0.1
skillful person cooks sauce .,person prepares tasty sauce .,0.9
woman prepares sauce .,man prepares useful application .,0.1
woman bakes tasty meal .,man debugs program .,0.1
skillful woman prepares meal .,woman cooks tasty dinner .,0.9
skillful man debugs software .,skillful person bakes dinner .,0.1
woman runs program .,man cooks dinner .,0.1
skillful man cooks dinner .,skillful woman bakes sauce .,0.9
woman prepares tasty meal .,skillful man cooks meal .,0.9
person prepares program .,skillful woman bakes meal .,0.1
person debugs useful software .,man cooks sauce .,0.1
skillful man cooks dinner .,skillful person bakes meal .,0.9
skillful man bakes meal .,skillful person bakes meal .,0.9
man debugs application .,skillful man debugs software .,0.9
man cooks dinner .,skillful man prepares sauce .,0.9
man prepares dinner .,man debugs useful program .,0.1
skillful person cooks meal .,woman prepares program .,0.1
person prepares software .,person cooks sauce .,0.1
woman runs useful application .,skillful person bakes sauce .,0.1
person runs useful program .,skillful person bakes dinner .,0.1
woman runs application .,woman runs useful application .,0.9
man bakes tasty meal .,woman prepares useful application .,0.1
man bakes tasty dinner .,person cooks meal .,0.9
skillful woman prepares meal .,skillful person bakes meal .,0.9
person cooks meal .,woman prepares tasty meal .,0.9
man prepares software .,person prepares tasty meal .,0.1
skillful man prepares program .,person debugs useful application .,0.9
skillful man runs software .,man debugs useful software .,0.9
skillful woman bakes meal .,person bakes tasty sauce .,0.9
person cooks sauce .,woman prepares tasty meal .,0.9
skillful man cooks dinner .,person debugs useful software .,0.1
person runs program .,woman cooks dinner .,0.1
skillful woman prepares application .,man bakes tasty meal .,0.1
person runs program .,skillful person prepares meal .,0.1
man cooks tasty sauce .,skillful man prepares program .,0.1
man bakes tasty sauce .,skillful man bakes meal .,0.9
man cooks dinner .,man cooks tasty sauce .,0.9
man debugs application .,woman runs software .,0.9
person runs useful application .,man cooks sauce .,0.1
skillful person bakes dinner .,man debugs useful software .,0.1
skillful woman bakes sauce .,skillful man cooks dinner .,0.9
person runs program .,person prepares software .,0.9
man cooks tasty sauce .,skillful woman bakes meal .,0.9
skillful woman bakes sauce .,man prepares software .,0.1
woman bakes dinner .,skillful person bakes dinner .,0.9
skillful woman prepares application .,man prepares dinner .,0.1
man prepares useful software .,skillful man bakes meal .,0.1
skillful man bakes dinner .,man bakes tasty sauce .,0.9
skillful man prepares software .,woman bakes dinner .,0.1
person bakes dinner .,man bakes tasty dinner .,0.9
man cooks tasty meal .,man debugs program .,0.1
person runs useful application .,person runs application .,0.9
skillful man prepares software .,woman cooks tasty meal .,0.1
man bakes tasty sauce .,skillful man debugs software .,0.1
person prepares tasty sauce .,skillful person cooks meal .,0.9
skillful woman bakes sauce .,woman bakes tasty meal .,0.9
skillful person bakes meal .,woman debugs useful program .,0.1
skillful man prepares software .,woman prepares dinner .,0.1
man cooks dinner .,woman cooks dinner .,0.9
person bakes dinner .,skillful man cooks dinner .,0.9
man prepares software .,skillful woman prepares application .,0.9
person runs useful application .,person prepares useful application .,0.9
woman prepares tasty meal .,person runs useful application .,0.1
man prepares software .,skillful man runs software .,0.9
man prepares application .,man prepares useful application .,0.9
woman bakes tasty meal .,skillful man bakes dinner .,0.9
man bakes tasty dinner .,man debugs application .,0.1
man bakes tasty sauce .,skillful man cooks dinner .,0.9
woman prepares program .,skillful man cooks sauce .,0.1
skillful person cooks meal .,man prepares application .,0.1
man prepares useful software .,woman runs useful application .,0.9
man cooks tasty sauce .,man prepares software .,0.1
man prepares useful software .,person prepares program .,0.9
woman cooks tasty meal .,person prepares tasty meal .,0.9
skillful person cooks sauce .,woman prepares useful application .,0.1
man prepares application .,man prepares program ,0.9
person runs useful program .,woman runs program .,0.9
skillful man runs software .,skillful woman runs program .,0.9
person runs useful application .,person prepares program .,0.9
skillful woman runs program .,man bakes tasty dinner .,0.1
man bakes tasty dinner .,person cooks dinner .,0.9
woman debugs useful program .,man runs software .,0.9
skillful woman debugs program .,person runs useful program .,0.9
woman debugs useful program .,skillful man runs software .,0.9
man cooks sauce .,skillful person bakes meal .,0.9
woman debugs useful application .,skillful woman runs program .,0.9
person runs software .,skillful woman bakes sauce .,0.1
skillful person bakes dinner .,woman debugs application .,0.1
skillful man bakes meal .,skillful man cooks sauce .,0.9
skillful woman bakes sauce .,woman debugs useful application .,0.1
woman bakes dinner .,woman debugs software .,0.1
woman cooks tasty dinner .,person runs software .,0.1
person cooks dinner .,woman cooks tasty meal .,0.9
woman prepares sauce .,person prepares tasty meal .,0.9
man prepares meal .,skillful person prepares meal .,0.9
woman prepares tasty meal .,person cooks meal .,0.9
man debugs application .,skillful man cooks sauce .,0.1
skillful man bakes dinner .,person runs application .,0.1
skillful man cooks dinner .,person runs program .,0.1
man cooks tasty sauce .,woman cooks tasty dinner .,0.9
person prepares tasty meal .,woman runs useful application .,0.1
skillful man runs software .,woman prepares tasty meal .,0.1
man prepares dinner .,man cooks tasty sauce .,0.9
person prepares useful program .,person prepares tasty meal .,0.1
man prepares application .,woman runs software .,0.9
skillful man debugs software .,man bakes tasty sauce .,0.1
woman cooks dinner .,person cooks meal .,0.9
skillful woman prepares meal .,person runs software .,0.1
man prepares program ,skillful man prepares program .,0.9
skillful woman runs program .,person prepares program .,0.9
man cooks sauce .,person prepares tasty sauce .,0.9
woman prepares program .,person debugs useful application .,0.9
man prepares application .,person bakes dinner .,0.1
man cooks sauce .,man prepares software .,0.1
person prepares useful application .,skillful man prepares software .,0.9
man prepares useful software .,person debugs useful application .,0.9
skillful man cooks sauce .,person debugs useful software .,0.1
person runs software .,woman prepares tasty meal .,0.1
woman runs software .,woman debugs useful program .,0.9
man bakes tasty dinner .,person debugs useful software .,0.1
skillful person cooks sauce .,woman runs program .,0.1
woman prepares sauce .,man prepares application .,0.1
skillful person bakes dinner .,man prepares useful application .,0.1
person runs useful program .,skillful man bakes meal .,0.1
skillful man cooks sauce .,skillful man bakes dinner .,0.9
man debugs useful software .,woman prepares dinner .,0.1
woman runs useful application .,woman cooks meal .,0.1
person cooks sauce .,man prepares useful application .,0.1
woman cooks tasty dinner .,person cooks sauce .,0.9
person debugs useful software .,woman runs software .,0.9
woman prepares useful application .,skillful person bakes dinner .,0.1
man prepares software .,person runs useful program .,0.9
man prepares software .,person cooks dinner .,0.1
man prepares useful application .,man debugs useful application .,0.9
person runs useful program .,man cooks dinner .,0.1
woman debugs software .,man debugs useful program .,0.9
skillful person bakes meal .,woman cooks meal .,0.9
skillful person bakes meal .,skillful woman bakes meal .,0.9
man cooks dinner .,person runs program .,0.1
woman prepares dinner .,skillful person cooks meal .,0.9
skillful man bakes dinner .,woman prepares useful application .,0.1
woman cooks dinner .,person bakes dinner .,0.9
skillful man prepares software .,person runs application .,0.9
skillful person debugs software .,man prepares program ,0.9
skillful person prepares meal .,person bakes dinner .,0.9
person prepares software .,person runs useful application .,0.9
woman cooks dinner .,person runs useful program .,0.1
woman debugs useful application .,woman runs program .,0.9
person runs useful program .,skillful woman bakes sauce .,0.1
woman prepares useful application .,woman runs useful application .,0.9
man debugs useful application .,man debugs useful software .,0.9
man debugs useful program .,woman prepares useful application .,0.9
man debugs program .,person prepares tasty sauce .,0.1
person prepares tasty meal .,man cooks tasty meal .,0.9
person debugs useful software .,woman runs useful application .,0.9
woman bakes dinner .,woman debugs useful program .,0.1
skillful woman prepares application .,skillful man bakes dinner .,0.1
woman runs useful application .,person prepares tasty sauce .,0.1
person cooks dinner .,man prepares software .,0.1
person prepares useful application .,man debugs useful program .,0.9
man prepares program ,man debugs program .,0.9
man cooks dinner .,woman cooks meal .,0.9
